id,docket,party,itemName,erpItemCode,rmItemCode,productCostActual,productCostExpected,productStatus,costActual,costExpected,costStatus,qrStatus,vaPercent,quotedRate
"cmraox9ht02i2o0v3pczk8ipg","GMD/2026-27/176","GA INFRA PVT LTD","121214 CI GLOBE VLV.100NB,PN-10 MAN OPTD","FCE020002","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","40",""
"cmraox9ht02i0o0v3zviffe5k","GMD/2026-27/176","GA INFRA PVT LTD","121212 CI GLOBE VLV.65NB,PN-10 MAN OPTD","FCE020009","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","40",""
"cmraox9hr02fio0v3gemr3z0f","GMD/2026-27/178","NMDC Steel Ltd.","VALVE BALL 20MM CLASS 150 FLAN ASTM A2","FCS020007","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","50",""
"cmraox9ht02i1o0v3b7vpzx7k","GMD/2026-27/176","GA INFRA PVT LTD","121213 CI GLOBE VLV.80NB,PN-10 MAN OPTD","FCE020001","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","40",""
"cmraox9hs02g5o0v3srhfgc7d","GMD/2026-27/180","Cochin Shipyard Ltd","150NB PN10 EN FF NAB_NAB_PTFE BOLTED BONNET SDNR DISC TYPE ST_GLOBE VALVE MANUAL OPERATED WITH HAND WHEEL","FCE020004","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","40",""
"cmraox9hs02g3o0v3wmrerzrd","GMD/2026-27/180","Cochin Shipyard Ltd","50NB PN10 EN FF NAB_NAB_PTFE BOLTED BONNET SDNR DISC TYPE ST_GLOBE VALVE MANUAL OPERATED WITH HANDWHEEL","FCE020012","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","40",""
"cmraox9hs02g2o0v37eg44ob2","GMD/2026-27/180","Cochin Shipyard Ltd","40NB PN10 EN FF NAB_NAB_PTFE BOLTED BONNET SDNR DISC TYPE ST_GLOBE VALVE MANUAL OPERATED WITH HANDWHEEL","FO3010001","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","40",""
"cmraox9hs02g4o0v36r549pfm","GMD/2026-27/180","Cochin Shipyard Ltd","65NB PN10 EN FF NAB_NAB_PTFE BOLTED BONNET SDNR DISC TYPE ST_GLOBE VALVE MANUAL OPERATED WITH HANDWHEEL","FCE020009","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","40",""
"cmraox9hs02hqo0v3wuwmcdu1","GMD/2026-27/180","Cochin Shipyard Ltd","25NB PN10 EN FF CS_CS_NBR BOLTED BONNET GLOBE TYPE SWING CHECK VALVE","FCG010089","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","200",""
"cmraox9hv02j5o0v3g5mxq3ca","GMD/2026-27/179","NMDC Steel Ltd.","1600667574 VALVE NON RETU 50 150 PN 1.6 FLAN ASTM-A","FCG010088","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","200",""
"cmraox9hv02j7o0v352cxclv5","GMD/2026-27/179","NMDC Steel Ltd.","1600667572 VALVE BUTTERFL 200 150 PN 1.6 ANSI CS TO","FBS040007","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","50",""
"cmraox9hv02j6o0v3oso7wrko","GMD/2026-27/179","NMDC Steel Ltd.","1600667573 VALVE BUTTERFL 125 150 PN 1.6 ANSI CS TO","FBS040006","FBD010509","378.5833333333333","378.5833333333333","MATCH","408.87","408.87","MATCH","QR_OK","2250.38","9610.00"
"cmraox9sa02l4o0v3aitpq8pn","GMD/2026-27/187","KALPATARU PROJECTS INTERNATIONAL LIMITED","Motroized Sluice ValveNOMINAL DIA
 (MM)300PN 10","FSD040003","RCB040002","","","NULL_BOTH","","","NULL_BOTH","","20",""
"cmraox9sa02l0o0v3tkauolv5","GMD/2026-27/187","KALPATARU PROJECTS INTERNATIONAL LIMITED","Sluice ValveNOMINAL DIA
 (MM)500PN 16","FSD040074","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","30",""
"cmraox9sa02lco0v3t1i2n1k6","GMD/2026-27/187","KALPATARU PROJECTS INTERNATIONAL LIMITED","NRVNOMINAL DIA
 (MM)100PN 10","FCE080020","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","200",""
"cmraox9sa02kto0v39z6tr7nn","GMD/2026-27/187","KALPATARU PROJECTS INTERNATIONAL LIMITED","Manual BFVNOMINAL DIA
 (MM)800PN16","FBD010121","FBC010121","","","NULL_BOTH","","","NULL_BOTH","","35",""
"cmraox9sa02kso0v3cbzpvvlv","GMD/2026-27/187","KALPATARU PROJECTS INTERNATIONAL LIMITED","Motorized BFV with extended spindleNOMINAL DIA
 (MM)600PN 10","FBC010061","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","35",""
"cmraox9sa02l8o0v3y2si5aei","GMD/2026-27/187","KALPATARU PROJECTS INTERNATIONAL LIMITED","Motroized Sluice Valve with Extended SpindleNOMINAL DIA
 (MM)350PN 10","FSD040028","RSD130032","","","NULL_BOTH","","","NULL_BOTH","","20",""
"cmraox9sa02l5o0v3lwa0u1b9","GMD/2026-27/187","KALPATARU PROJECTS INTERNATIONAL LIMITED","Motroized Sluice ValveNOMINAL DIA
 (MM)400PN 10","FSD040037","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","20",""
"cmraox9sa02lgo0v3ntpo1wq6","GMD/2026-27/187","KALPATARU PROJECTS INTERNATIONAL LIMITED","NRVNOMINAL DIA
 (MM)800PN 16","FCE080037","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","200",""
"cmraox9sa02lho0v3xd1kabss","GMD/2026-27/187","KALPATARU PROJECTS INTERNATIONAL LIMITED","Air Valve with Sluice ValveNOMINAL DIA
 (MM)150PN 16","FSD040002","RSD110023","","","NULL_BOTH","","","NULL_BOTH","","25",""
"cmraox9sa02l6o0v31r37q703","GMD/2026-27/187","KALPATARU PROJECTS INTERNATIONAL LIMITED","Motroized Sluice ValveNOMINAL DIA
 (MM)450PN 16","FSD040159","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","20",""
